Total_Cases,Total_Death
108683,4849
108653,4849
108622,4849
108588,4849
108555,4849
108528,4849
108495,4849
108450,4849
108413,4849
108386,4849
108344,4849
108309,4849
108266,4849
108227,4849
108180,4849
108124,4849
108080,4849
108038,4849
107961,4849
107909,4849
107838,4849
107789,4849
107705,4849
107624,4849
107549,4849
107456,4848
107404,4848
107354,4848
107324,4848
107305,4848
107275,4848
107250,4848
107212,4848
107186,4848
107157,4848
107130,4848
107102,4848
107073,4848
107052,4848
107012,4848
106982,4848
106943,4848
106905,4848
106870,4848
106839,4848
106812,4848
106772,4848
106746,4848
106711,4848
106689,4848
106651,4848
106602,4848
106571,4848
106526,4848
106474,4848
106419,4848
106348,4848
106244,4848
106162,4848
106047,4848
105902,4848
105775,4848
105672,4848
105563,4848
105433,4848
105346,4848
105242,4848
105149,4848
105050,4848
104973,4848
104918,4848
104850,4848
104800,4848
104713,4848
104642,4848
104562,4848
104563,4851
104489,4848
104440,4848
104362,4848
104355,4848
104290,4848
104257,4848
104224,4848
104193,4848
104157,4848
104126,4848
104101,4848
104072,4848
104020,4848
104019,4848
103992,4848
103966,4848
103948,4848
103890,4848
103866,4847
103841,4847
103825,4847
103791,4847
103769,4847
103755,4847
103745,4847
103724,4847
103696,4847
103680,4847
103651,4846
103620,4846
103602,4846
103571,4846
103543,4846
103525,4846
103501,4846
103467,4846
103444,4846
103424,4846
103401,4846
103380,4846
103357,4846
103320,4846
103285,4846
103261,4846
103235,4846
103216,4846
103176,4846
103150,4846
103119,4846
103094,4846
103069,4846
103045,4846
103014,4846
102987,4846
102960,4846
102948,4846
102932,4846
102925,4846
102905,4846
102890,4846
102873,4846
102853,4846
102833,4846
102822,4846
102797,4846
102784,4846
102769,4846
102746,4846
102717,4846
102696,4846
102681,4846
102671,4846
102660,4846
102643,4846
102625,4846
102613,4846
102596,4846
102586,4846
102571,4846
102560,4846
102549,4846
102530,4846
102517,4846
102494,4845
102474,4845
102446,4845
102419,4845
102399,4845
102384,4845
102367,4845
102351,4845
102333,4845
102300,4845
102293,4845
102264,4845
102242,4845
102201,4845
102167,4845
102135,4845
102118,4845
102103,4843
102078,4843
102056,4843
102027,4843
102012,4842
101984,4841
101953,4841
101920,4841
101901,4841
101861,4841
101821,4841
101799,4841
101754,4841
101732,4841
101710,4841
101692,4841
101676,4841
101663,4841
101646,4841
101623,4840
101603,4840
101582,4839
101560,4839
101533,4839
101518,4839
101498,4839
101481,4839
101460,4839
101443,4839
101421,4839
101378,4839
101349,4839
101292,4839
101225,4839
101194,4838
101175,4838
101149,4838
101132,4838
101097,4838
101076,4837
101055,4837
101037,4836
101013,4836
100990,4836
100965,4835
100924,4834
100886,4834
100851,4834
100832,4833
100808,4833
100784,4833
100758,4833
100727,4833
100705,4833
100684,4833
100666,4831
100639,4830
100624,4829
100599,4829
100578,4829
100559,4828
100527,4827
100494,4824
100475,4823
100435,4822
100389,4822
100348,4822
100318,4822
100268,4822
100226,4821
100177,4819
100127,4818
100063,4817
99968,4814
99848,4814
99746,4813
99655,4810
99541,4809
99402,4807
99247,4804
99047,4803
98886,4802
98725,4802
98544,4801
98323,4799
98164,4798
97939,4797
97775,4797
97616,4796
97448,4796
97275,4796
97095,4793
96920,4792
96824,4792
96690,4791
96562,4789
96484,4788
96398,4788
96310,4787
96246,4785
96160,4784
96086,4784
96023,4783
95963,4782
95876,4780
95797,4777
95720,4773
95632,4770
95541,4770
95460,4770
95383,4769
95298,4767
95228,4766
95150,4765
95050,4763
94953,4763
94821,4763
94734,4759
94626,4757
94537,4756
94427,4754
94328,4751
94217,4749
94124,4748
94025,4748
93898,4748
93782,4746
93670,4746
93577,4746
93467,4746
93348,4746
93221,4744
93113,4744
92993,4743
92902,4743
92814,4743
92681,4743
92586,4742
92488,4742
92402,4742
92296,4742
92211,4742
92116,4742
92037,4742
91977,4742
91935,4742
91906,4742
91885,4742
91872,4742
91850,4742
91828,4742
91807,4742
91783,4742
91752,4742
91719,4742
91693,4741
91665,4741
91622,4741
91591,4741
91552,4740
91509,4740
91478,4739
91452,4739
91397,4739
91366,4739
91339,4739
91299,4739
91271,4739
91222,4739
91175,4739
91151,4739
91128,4739
91108,4739
91073,4739
91044,4739
91022,4739
91006,4739
90972,4739
90955,4739
90925,4739
90905,4739
90869,4739
90858,4739
90830,4739
90812,4739
90778,4739
90751,4739
90728,4739
90687,4739
90667,4739
90652,4739
90629,4739
90604,4739
90584,4739
90567,4739
90545,4739
90528,4739
90505,4739
90483,4739
90456,4739
90441,4738
90424,4738
90409,4737
90399,4737
90381,4737
90369,4737
90334,4737
90311,4737
90294,4736
90253,4736
90235,4735
90219,4735
90197,4734
90168,4734
90145,4733
90127,4733
90100,4733
90087,4733
90078,4732
90058,4729
90025,4728
90008,4728
89986,4728
89953,4727
89933,4724
89914,4723
89895,4722
89863,4720
89836,4718
89814,4713
89784,4712
89752,4711
89718,4711
89695,4711
89654,4710
89616,4709
89567,4707
89527,4706
89494,4704
89441,4703
89375,4703
89279,4702
89214,4700
89144,4699
89045,4697
88958,4692
88906,4688
88793,4685
88672,4681
88580,4680
88460,4678
88328,4677
88206,4675
88099,4671
87985,4668
87827,4665
87655,4661
87489,4658
87213,4658
86990,4656
86783,4656
86570,4652
86381,4652
86202,4650
86045,4649
85906,4648
85768,4648
85695,4646
85611,4646
85482,4646
85402,4644
85327,4644
85246,4642
85226,4642
85169,4641
85117,4641
85071,4641
85030,4641
84992,4641
84950,4641
84917,4641
84889,4641
84871,4641
84857,4641
84838,4641
84830,4641
84816,4641
84785,4641
84780,4641
84757,4641
84743,4641
84725,4641
84701,4641
84673,4640
84653,4640
84624,4639
84572,4639
84553,4638
84497,4638
84494,4638
84458,4638
84422,4638
84378,4638
84335,4638
84286,4638
84228,4638
84216,4638
84209,4638
84198,4638
84195,4638
84191,4638
84186,4638
84177,4638
84171,4638
84160,4638
84161,4638
84154,4638
84146,4638
84128,4638
84123,4638
84106,4638
84106,4638
84103,4638
84102,4638
84095,4638
84084,4638
84081,4638
84071,4638
84063,4638
84063,4638
84063,4638
84054,4638
84044,4638
84038,4637
84029,4637
84024,4637
84018,4637
84011,4637
84010,4637
83990,4637
83976,4637
83975,4637
83970,4637
83968,4637
83966,4637
83964,4637
83959,4637
83959,4637
83956,4637
83944,4637
83940,4637
83918,4637
83912,4637
83909,4636
83899,4636
83884,4636
83868,4636
83853,4636
83817,4636
83805,4636
83786,4636
83760,4636
83403,3346
83355,3346
83306,3345
83213,3345
83134,3343
83014,3343
82941,3340
82883,3339
82809,3337
82718,3335
82665,3335
82594,3333
82534,3330
82497,3326
82414,3322
82333,3316
82245,3309
82139,3308
82058,3304
81964,3299
81872,3296
81781,3291
81658,3285
81587,3281
81493,3274
81435,3274
81305,3259
81250,3253
81156,3249
81102,3241
81058,3230
81033,3217
81003,3203
80977,3193
80945,3180
80932,3172
80921,3161
80887,3139
80860,3123
80823,3100
80770,3072
80690,3044
80537,3015
80386,2983
80261,2947
80136,2914
79932,2872
79356,2837
78928,2790
78600,2746
78166,2717
77754,2665
77241,2595
77022,2445
77001,2443
75550,2238
75077,2238
74619,2116
74211,2003
72434,1864
70513,1766
68413,1663
66358,1521
59895,1369
44759,1117
44386,1112
42354,1012
39829,905
36814,805
34110,718
30587,633
27440,563
23707,491
19716,425
16630,361
11891,259
9802,213
8141,171
6087,133
5509,131
2877,82
2075,56
1406,42
920,26
643,18
548,17
